ENSG,TPM1,TPM2,TPM3,TPM4,TPM5,TPM6,TPM7,TPM8,TPM9,TPM10,TPM11,TPM12,TPM13,TPM14,TPM15,TPM16,TPM17,TPM18,TPM19,TPM20,TPM21,TPM22,TPM23
ENSG00000005882 ,12.976639,1.244909,0.755099,0.356063,0.274562,0.223368,0.043963,0.022052,,,,,,,,,,,,,,,
ENSG00000040487 ,8.167789,2.055229,0.229947,,,,,,,,,,,,,,,,,,,,
ENSG00000071655 ,71.977379,0.616453,0.32474,0.04419,0.003817,0.003319,,,,,,,,,,,,,,,,,
ENSG00000072958 ,24.306866,3.315525,0.41124,0.23999,0.196458,0.152989,0.1248,,,,,,,,,,,,,,,,
ENSG00000077463 ,4.016653,1.918398,0.304939,0.235967,0.055858,0.046448,0.030549,0.025435,0.001049,,,,,,,,,,,,,,
ENSG00000078902 ,9.503563,0.001234,0.001166,,,,,,,,,,,,,,,,,,,,
ENSG00000086504 ,63.873131,2.012768,,,,,,,,,,,,,,,,,,,,,
ENSG00000091542 ,101.977142,,,,,,,,,,,,,,,,,,,,,,
ENSG00000099795 ,269.125244,,,,,,,,,,,,,,,,,,,,,,
ENSG00000099797 ,129.211029,12.467582,0.629055,0.483658,0.465012,0.04426,0.036294,0.030934,0.022509,0.002628,,,,,,,,,,,,,
ENSG00000099817 ,186.480515,1.426925,0.224895,0.07975,0.01309,0.002391,0.000352,,,,,,,,,,,,,,,,
ENSG00000100605 ,19.736336,0.075129,0.011217,,,,,,,,,,,,,,,,,,,,
ENSG00000101439 ,166.693756,,,,,,,,,,,,,,,,,,,,,,
ENSG00000103024 ,19.218622,0.504012,0.246285,0.108025,0.067032,0.00786,0.003826,0.002627,,,,,,,,,,,,,,,
ENSG00000103260 ,8.125705,2.722661,,,,,,,,,,,,,,,,,,,,,
ENSG00000103266 ,263.976013,4.084287,3.114577,2.65082,2.426978,2.124819,0.766674,0.086338,0.004181,,,,,,,,,,,,,,
ENSG00000104866 ,11.168709,1.352944,0.544525,,,,,,,,,,,,,,,,,,,,
ENSG00000104886 ,98.426682,0.379947,0.022723,0.008606,0.008411,0.005009,0.001346,0.001115,,,,,,,,,,,,,,,
ENSG00000104960 ,76.560089,17.926706,14.140449,4.206961,1.949078,1.257175,0.358416,0.2381,0.224127,0.025244,0.009539,0.008979,,,,,,,,,,,
ENSG00000105401 ,283.010071,0.420121,0.398927,0.283182,0.217497,0.030404,,,,,,,,,,,,,,,,,
ENSG00000105700 ,72.495453,20.060801,14.189804,8.877376,2.874119,1.119586,0.356474,0.057335,0.037748,,,,,,,,,,,,,,
ENSG00000110717 ,10.734694,1.91494,0.401372,0.369546,0.083117,0.038987,,,,,,,,,,,,,,,,,
ENSG00000115286 ,73.924088,1.178374,0.053811,0.027035,0.017599,0.014889,0.014858,0.013347,0.005743,0.001716,,,,,,,,,,,,,
ENSG00000116649 ,415.016968,8.251762,1.756085,0.329049,0.004856,,,,,,,,,,,,,,,,,,
ENSG00000117984 ,56.283421,0.389802,2.80E-05,,,,,,,,,,,,,,,,,,,,
ENSG00000122490 ,1.034004,,,,,,,,,,,,,,,,,,,,,,
ENSG00000123933 ,33.843964,0.346362,,,,,,,,,,,,,,,,,,,,,
ENSG00000125741 ,8.690992,,,,,,,,,,,,,,,,,,,,,,
ENSG00000125901 ,175.778656,,,,,,,,,,,,,,,,,,,,,,
ENSG00000125912 ,28.636639,,,,,,,,,,,,,,,,,,,,,,
ENSG00000126243 ,27.612989,,,,,,,,,,,,,,,,,,,,,,
ENSG00000126457 ,35.69302,0.721993,0.572549,0.247005,0.084485,0.040258,0.001585,,,,,,,,,,,,,,,,
ENSG00000127445 ,209.741501,0.305314,,,,,,,,,,,,,,,,,,,,,
ENSG00000127580 ,5.844905,,,,,,,,,,,,,,,,,,,,,,
ENSG00000129932 ,14.879593,0.897943,0.691089,0.325892,,,,,,,,,,,,,,,,,,,
ENSG00000129968 ,43.233498,0.317975,0.178636,,,,,,,,,,,,,,,,,,,,
ENSG00000130382 ,37.580799,,,,,,,,,,,,,,,,,,,,,,
ENSG00000130522 ,73.382385,,,,,,,,,,,,,,,,,,,,,,
ENSG00000131165 ,50.723476,0.71159,0.430418,0.415752,0.167058,0.104518,0.01387,,,,,,,,,,,,,,,,
ENSG00000131669 ,17.29842,0.11873,,,,,,,,,,,,,,,,,,,,,
ENSG00000133243 ,97.182304,0.972223,0.55831,0.282372,0.212224,0.011933,,,,,,,,,,,,,,,,,
ENSG00000135686 ,0.573147,,,,,,,,,,,,,,,,,,,,,,
ENSG00000136213 ,2.466329,,,,,,,,,,,,,,,,,,,,,,
ENSG00000136720 ,21.710505,,,,,,,,,,,,,,,,,,,,,,
ENSG00000136802 ,24.002439,,,,,,,,,,,,,,,,,,,,,,
ENSG00000141522 ,241.737015,164.852188,63.729492,51.273075,0.925221,0.488112,0.429761,0.102458,0.094179,0.02876,0.028297,0.007681,0.007566,0.003284,,,,,,,,,
ENSG00000141873 ,33.440407,0.576866,,,,,,,,,,,,,,,,,,,,,
ENSG00000141933 ,11.666162,,,,,,,,,,,,,,,,,,,,,,
ENSG00000142409 ,20.247221,0.009491,,,,,,,,,,,,,,,,,,,,,
ENSG00000143774 ,160.439026,34.093674,21.406303,13.19945,6.658621,2.757168,2.393831,0.586311,0.398815,0.39476,0.324549,0.313374,0.125622,0.071068,0.062648,0.061979,0.014846,0.007303,0.004569,0.002655,0.002387,0.001849,0.001487
ENSG00000143878 ,58.817924,,,,,,,,,,,,,,,,,,,,,,
ENSG00000145945 ,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000146676 ,12.013646,,,,,,,,,,,,,,,,,,,,,,
ENSG00000147119 ,6.56008,,,,,,,,,,,,,,,,,,,,,,
ENSG00000148411 ,11.084912,,,,,,,,,,,,,,,,,,,,,,
ENSG00000152082 ,155.552689,1.294898,0.73289,0.156316,0.003185,,,,,,,,,,,,,,,,,,
ENSG00000153487 ,7.530943,,,,,,,,,,,,,,,,,,,,,,
ENSG00000157350 ,6.719089,0.213505,0.039058,,,,,,,,,,,,,,,,,,,,
ENSG00000159069 ,76.667656,0.638079,0.373108,0.279215,0.155541,,,,,,,,,,,,,,,,,,
ENSG00000160226 ,4.93141,0.407591,0.274834,,,,,,,,,,,,,,,,,,,,
ENSG00000160877 ,73.640503,,,,,,,,,,,,,,,,,,,,,,
ENSG00000161091 ,12.819088,10.149675,3.921097,1.199659,0.828398,0.379304,0.15348,0.091385,,,,,,,,,,,,,,,
ENSG00000164880 ,0.475794,0.27612,0.220235,,,,,,,,,,,,,,,,,,,,
ENSG00000167136 ,28.173815,,,,,,,,,,,,,,,,,,,,,,
ENSG00000167658 ,2801.346191,0.501418,0.457941,0.165113,,,,,,,,,,,,,,,,,,,
ENSG00000167671 ,48.12878,1.837577,0.755103,0.389521,0.267695,0.102108,0.071393,,,,,,,,,,,,,,,,
ENSG00000167685 ,28.500156,0.789951,0.018465,0.017922,,,,,,,,,,,,,,,,,,,
