GenBankNucleotideAccession	EnsemblGeneID
NM_000099	ENSG00000101439	
NM_000858	ENSG00000143774	
NM_001001795	ENSG00000213563	
NM_001002836	ENSG00000142409	
NM_001010858；	ENSG00000168159
NM_001010858;	ENSG00000285426	
NM_001024678	ENSG00000254402	
NM_001029885	ENSG00000224051	
NM_001042371	ENSG00000184207	
NM_001078172	ENSG00000203950	
NM_001080453	ENSG00000164880	
NM_001085365	ENSG00000173272	
NM_001136498；	ENSG00000277972
NM_001136498;	ENSG00000274768	
NM_001145783	ENSG00000254901	
NM_001193285	ENSG00000077463	
NM_001195605	ENSG00000261221	
NM_001199900	ENSG00000005882	
NM_001694	ENSG00000185883	
NM_001728	ENSG00000172270	
NM_001909	ENSG00000117984	
NM_001961	ENSG00000167658	
NM_002105	ENSG00000188486	
NM_002415；	ENSG00000276701
NM_002415;	ENSG00000240972	
NM_002496	ENSG00000110717	
NM_002513	ENSG00000103024	
NM_002695	ENSG00000099817	
NM_002768	ENSG00000131165	
NM_002957	ENSG00000186350	
NM_003132	ENSG00000116649	
NM_003526	ENSG00000180596	
NM_003565	ENSG00000177169	
NM_003926	ENSG00000071655	
NM_004040	ENSG00000143878	
NM_004146	ENSG00000099795	
NM_004148	ENSG00000131669	
NM_004218	ENSG00000185236	
NM_004309	ENSG00000141522	
NM_004435	ENSG00000167136	
NM_004807	ENSG00000136720	
NM_004928	ENSG00000160226	
NM_005354	ENSG00000130522	
NM_005481；	ENSG00000282092
NM_005481;	ENSG00000175221	
NM_005859	ENSG00000185129	
NM_005861	ENSG00000103266	
NM_005934	ENSG00000130382	
NM_006026	ENSG00000184897	
NM_006221	ENSG00000127445	
NM_006428	ENSG00000086504	
NM_006454	ENSG00000123933	
NM_006927	ENSG00000157350	
NM_006936	ENSG00000184900	
NM_007065	ENSG00000105401	
NM_012135；	ENSG00000145945
NM_012135;	ENSG00000238158	
NM_013400	ENSG00000214022	
NM_014216；	ENSG00000274958
NM_014216;	ENSG00000100605	
NM_015898	ENSG00000178951	
NM_016202	ENSG00000213015	
NM_017432	ENSG00000104960	
NM_017758	ENSG00000091542	
NM_017765	ENSG00000040487	
NM_017797	ENSG00000133243	
NM_018049	ENSG00000104886	
NM_018337	ENSG00000167685	
NM_018641	ENSG00000136213	
NM_018998	ENSG00000159069	
NM_019009	ENSG00000078902	
NM_019121	ENSG00000104866	
NM_019594	ENSG00000136802	
NM_019886	ENSG00000147119	
NM_020170	ENSG00000125912	
NM_021168	ENSG00000197562	
NM_024042	ENSG00000103260	
NM_024069	ENSG00000105700	
NM_024301	ENSG00000181027	
NM_024407	ENSG00000115286	
NM_024509	ENSG00000126243	
NM_024731	ENSG00000135686	
NM_025029	ENSG00000152082	
NM_025078	ENSG00000122490	
NM_025124	ENSG00000172663	
NM_025136	ENSG00000125741	
NM_025241	ENSG00000167671	
NM_030811	ENSG00000125901	
NM_030912	ENSG00000171206	
NM_031213	ENSG00000129968	
NM_031304	ENSG00000129932	
NM_032259	ENSG00000127580	
NM_032477	ENSG00000182154	
NM_032493	ENSG00000072958	
NM_032804	ENSG00000181915	
NM_032836	ENSG00000179943	
NM_032862；	ENSG00000278016
NM_032862;	ENSG00000179886	
NM_033089	ENSG00000247315	
NM_033224	ENSG00000146676	
NM_033296	ENSG00000179010	
NM_033420	ENSG00000182087	
NM_033513	ENSG00000141933	
NM_052876	ENSG00000160877	
NM_080605	ENSG00000176022	
NM_138465	ENSG00000250571	
NM_138501	ENSG00000099797	
NM_144564	ENSG00000141873	
NM_144653	ENSG00000148411	
NM_152833	ENSG00000238227	
NM_174894	ENSG00000181029	
NM_174983	ENSG00000161091	
NM_194326	ENSG00000187051	
NM_198217	ENSG00000153487	
NM_198318	ENSG00000126457	
NM_203397	ENSG00000214309	
NM_212550	ENSG00000189114	
